Date,Open,High,Low,Close,Volume,Change,MA3,MA5
2025-01-14,194300,197900,193600,195000,3019149,0.0036026762738035067,197600.0,198500.0
2025-01-15,198000,201000,197700,198200,3620460,0.016410256410256396,195833.33333333334,199200.0
2025-01-16,208500,210000,206500,210000,6029645,0.05953582240161448,201066.66666666666,200200.0
2025-01-17,209500,217500,209000,214500,5041329,0.021428571428571352,207566.66666666666,202400.0
2025-01-20,219000,219000,210500,212000,3036234,-0.011655011655011704,212166.66666666666,205940.0
2025-01-21,216500,220000,214000,218000,3323212,0.028301886792452935,214833.33333333334,210540.0
2025-01-22,221500,227000,217000,225500,5901740,0.034403669724770714,218500.0,216000.0
2025-01-23,221000,225500,215000,219500,5994781,-0.026607538802660757,221000.0,217900.0
2025-01-24,220500,227000,217500,221000,3771572,0.006833712984054774,222000.0,219200.0
2025-01-31,197000,204500,194800,199200,11871995,-0.09864253393665157,213233.33333333334,216640.0
2025-02-03,191500,193200,186900,190900,7926444,-0.04166666666666663,203700.0,211220.0
2025-02-04,192900,194300,190100,191100,5851146,0.0010476689366161196,193733.33333333334,204340.0
2025-02-05,191900,199400,191900,198800,4245118,0.04029304029304037,193600.0,200200.0
2025-02-06,202000,205000,200500,203500,4032622,0.023641851106639855,197800.0,196700.0
2025-02-07,205000,206000,200500,203000,2206293,-0.002457002457002422,201766.66666666666,197460.0
2025-02-10,197800,203000,197000,198100,2779740,-0.024137931034482807,201533.33333333334,198900.0
2025-02-11,201000,201500,198000,199700,2488710,0.008076728924785392,200266.66666666666,200620.0
2025-02-12,196500,199900,196000,198900,2884072,-0.0040060090135203286,198900.0,200640.0
2025-02-13,198800,208500,198100,208500,3574410,0.04826546003016596,202366.66666666666,201640.0
2025-02-14,209000,212000,206500,210000,2598656,0.007194244604316502,205800.0,203040.0
2025-02-17,211500,216000,211000,212000,2497922,0.00952380952380949,210166.66666666666,205820.0
2025-02-18,212000,215000,207000,210000,1937894,-0.009433962264150941,210666.66666666666,207880.0
2025-02-19,216000,219500,214000,218500,3537720,0.040476190476190554,213500.0,211800.0
2025-02-20,217000,218500,211000,212000,3080242,-0.029748283752860427,213500.0,212500.0
2025-02-21,209500,211000,205500,209500,2601151,-0.011792452830188704,213333.33333333334,212400.0
2025-02-24,202500,205000,201000,205000,3087127,-0.021479713603818618,208833.33333333334,211000.0
2025-02-25,199800,202000,199200,200500,3651613,-0.02195121951219514,205000.0,209100.0
2025-02-26,199000,206000,198600,203000,3849749,0.012468827930174564,202833.33333333334,206000.0
2025-02-27,204500,205000,198100,199200,3993419,-0.01871921182266012,200900.0,203440.0
2025-02-28,191600,193000,188700,190200,5533027,-0.04518072289156627,197466.66666666666,199580.0
2025-03-04,184800,187500,184000,186100,5424556,-0.02155625657202942,191833.33333333334,195800.0
2025-03-05,188200,194400,186600,193100,4162368,0.03761418592154753,189800.0,194320.0
2025-03-06,193500,194000,190300,192400,2540131,-0.0036250647332988217,190533.33333333334,192200.0
2025-03-07,191000,192800,187900,192400,2700590,0.0,192633.33333333334,190840.0
2025-03-10,187500,191500,187300,187900,2441476,-0.02338877338877343,190900.0,190380.0
2025-03-11,182100,189000,181300,187800,3521800,-0.000532197977647697,189366.66666666666,190720.0
2025-03-12,192400,199350,189700,198900,4064278,0.0591054313099042,191533.33333333334,191880.0
2025-03-13,202500,204500,195500,199700,3883033,0.004022121669180478,195466.66666666666,193340.0
2025-03-14,198500,206000,198500,204500,3397462,0.02403605408112175,201033.33333333334,195760.0
2025-03-17,207000,209500,203500,206000,2584679,0.007334963325183352,203400.0,199380.0
2025-03-18,208500,209000,201000,203000,2696191,-0.014563106796116498,204500.0,202420.0
2025-03-19,202000,209500,201000,205500,3102000,0.012315270935960632,204833.33333333334,203740.0
2025-03-20,207000,211000,205500,210000,2779557,0.021897810218978186,206166.66666666666,205800.0
2025-03-21,213500,219500,212000,215500,5731880,0.026190476190476097,210333.33333333334,208000.0
2025-03-24,211500,214500,209500,211500,1611040,-0.018561484918793503,212333.33333333334,209100.0
2025-03-25,214500,215500,208000,208000,2262656,-0.01654846335697402,211666.66666666666,210100.0
2025-03-26,209000,215500,208500,214000,2058540,0.028846153846153744,211166.66666666666,211800.0
2025-03-27,208000,212000,206500,207000,2287220,-0.032710280373831724,209666.66666666666,211200.0
2025-03-28,203000,204500,198900,199300,2673553,-0.037198067632850274,206766.66666666666,207960.0
2025-03-31,193500,195500,190500,190700,4561715,-0.04315102860010034,199000.0,203800.0
2025-04-01,193600,198500,192000,197000,2317253,0.03303618248557938,195666.66666666666,201600.0
2025-04-02,198800,201500,197300,197900,2764223,0.004568527918781706,195200.0,198380.0
2025-04-03,189600,194600,188200,194600,4177747,-0.016675088428499296,196500.0,195900.0
2025-04-04,187900,189600,178400,182200,9182017,-0.06372045220966083,191566.66666666666,192480.0
2025-04-07,168000,172800,164800,164800,7879050,-0.09549945115257963,180533.33333333334,187300.0
2025-04-08,172000,173100,168200,169500,4965171,0.02851941747572817,172166.66666666666,181800.0
2025-04-09,170000,170000,162700,165000,8035679,-0.026548672566371723,166433.33333333334,175220.0
2025-04-10,189700,189900,180000,183200,7836984,0.11030303030303035,172566.66666666666,172940.0
2025-04-11,177800,181800,176100,180800,3223735,-0.013100436681222738,176333.33333333334,172660.0
